timestamp,imp1chng,ppichng,pxfechng,cpichng,cpupxchng,gdppiqq,pcecmom,prodnfr%,ecichng
1996-12-11,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN
1996-12-12,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN
1997-01-09,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN
1997-01-14,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN
1997-02-14,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
1997-02-19,NaN,NaN,NaN,0.1,0.1,NaN,NaN,NaN,NaN
1997-03-14,NaN,NaN,-0.1,NaN,NaN,NaN,NaN,NaN,NaN
1997-03-19,NaN,NaN,NaN,0.3,0.2,NaN,NaN,NaN,NaN
1997-04-11,NaN,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN
1997-04-15,NaN,NaN,NaN,0.1,0.2,NaN,NaN,NaN,NaN
1997-05-14,NaN,NaN,-0.1,NaN,NaN,NaN,NaN,NaN,NaN
1997-05-15,NaN,NaN,NaN,0.1,0.3,NaN,NaN,NaN,NaN
1997-06-13,NaN,NaN,-0.3,NaN,NaN,NaN,NaN,NaN,NaN
1997-06-17,NaN,NaN,NaN,0.1,0.2,NaN,NaN,NaN,NaN
1997-07-11,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN
1997-07-16,NaN,NaN,NaN,0.1,0.1,NaN,NaN,NaN,NaN
1997-08-13,NaN,NaN,-0.1,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-14,NaN,NaN,NaN,0.2,0.2,NaN,NaN,NaN,NaN
1997-09-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2,NaN
1997-09-12,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN
1997-09-16,NaN,NaN,NaN,0.2,0.1,NaN,NaN,NaN,NaN
1997-10-10,NaN,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN
1997-10-16,NaN,NaN,NaN,0.2,0.2,NaN,NaN,NaN,NaN
1997-11-14,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
1997-11-18,NaN,NaN,NaN,0.2,0.2,NaN,NaN,NaN,NaN
1997-12-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,NaN
1997-12-12,NaN,-0.2,-0.1,NaN,NaN,NaN,NaN,NaN,NaN
